Sample 00125: {'mpuData': {'accelX': 45568, 'accelY': 26646, 'accelZ': 4379}, 'adcData': {'adcX': 0, 'adcY': 18434, 'adcZ': 57864}}
Sample 00126: {'mpuData': {'accelX': 40448, 'accelY': 11286, 'accelZ': 1563}, 'adcData': {'adcX': 0, 'adcY': 20233, 'adcZ': 61453}}
Sample 00127: {'mpuData': {'accelX': 47360, 'accelY': 11798, 'accelZ': 60442}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00128: {'mpuData': {'accelX': 34816, 'accelY': 13334, 'accelZ': 26139}, 'adcData': {'adcX': 0, 'adcY': 4096, 'adcZ': 27398}}
Sample 00129: {'mpuData': {'accelX': 36864, 'accelY': 11798, 'accelZ': 8475}, 'adcData': {'adcX': 0, 'adcY': 22018, 'adcZ': 61704}}
Sample 00130: {'mpuData': {'accelX': 44032, 'accelY': 9238, 'accelZ': 53530}, 'adcData': {'adcX': 0, 'adcY': 13065, 'adcZ': 56077}}
Sample 00131: {'mpuData': {'accelX': 35584, 'accelY': 19990, 'accelZ': 15387}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00132: {'mpuData': {'accelX': 34560, 'accelY': 16150, 'accelZ': 16411}, 'adcData': {'adcX': 0, 'adcY': 2048, 'adcZ': 25094}}
Sample 00133: {'mpuData': {'accelX': 35584, 'accelY': 10262, 'accelZ': 1307}, 'adcData': {'adcX': 0, 'adcY': 20738, 'adcZ': 61448}}
Sample 00134: {'mpuData': {'accelX': 33792, 'accelY': 16662, 'accelZ': 12827}, 'adcData': {'adcX': 0, 'adcY': 9737, 'adcZ': 53261}}
Sample 00135: {'mpuData': {'accelX': 37888, 'accelY': 14358, 'accelZ': 9243}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00136: {'mpuData': {'accelX': 35072, 'accelY': 23574, 'accelZ': 61466}, 'adcData': {'adcX': 0, 'adcY': 0, 'adcZ': 22022}}
Sample 00137: {'mpuData': {'accelX': 32000, 'accelY': 21270, 'accelZ': 64026}, 'adcData': {'adcX': 0, 'adcY': 20482, 'adcZ': 60168}}
Sample 00138: {'mpuData': {'accelX': 35584, 'accelY': 16662, 'accelZ': 59674}, 'adcData': {'adcX': 0, 'adcY': 12553, 'adcZ': 51981}}
Sample 00139: {'mpuData': {'accelX': 39168, 'accelY': 23574, 'accelZ': 2843}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00140: {'mpuData': {'accelX': 38144, 'accelY': 23574, 'accelZ': 9755}, 'adcData': {'adcX': 0, 'adcY': 2816, 'adcZ': 20486}}
Sample 00141: {'mpuData': {'accelX': 44288, 'accelY': 20502, 'accelZ': 6939}, 'adcData': {'adcX': 0, 'adcY': 17922, 'adcZ': 59144}}
Sample 00142: {'mpuData': {'accelX': 35328, 'accelY': 18710, 'accelZ': 57626}, 'adcData': {'adcX': 0, 'adcY': 9737, 'adcZ': 53005}}
Sample 00143: {'mpuData': {'accelX': 40448, 'accelY': 24854, 'accelZ': 59674}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00144: {'mpuData': {'accelX': 36096, 'accelY': 25878, 'accelZ': 283}, 'adcData': {'adcX': 0, 'adcY': 1536, 'adcZ': 20486}}
